Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region
Afghanistan,2017,2.662,7.697,0.491,52.8,0.427,-0.121,0.954,0.496,0.371,Developing,Asia,Asia & Pacific
Afghanistan,2018,2.694,7.692,0.508,52.6,0.374,-0.094,0.928,0.424,0.405,Developing,Asia,Asia & Pacific
Afghanistan,2019,2.375,7.697,0.42,52.4,0.394,-0.108,0.924,0.351,0.502,Developing,Asia,Asia & Pacific
Albania,2017,4.64,9.476,0.638,68.4,0.75,-0.029,0.876,0.669,0.334,Developed,Europe,Europe
Albania,2018,5.004,9.518,0.684,68.7,0.824,0.009,0.899,0.713,0.319,Developed,Europe,Europe
Albania,2019,4.995,9.544,0.686,69,0.777,-0.099,0.914,0.681,0.274,Developed,Europe,Europe
Algeria,2017,5.249,9.354,0.807,65.7,0.437,-0.167,0.7,0.642,0.289,Developing,Africa,Arab States
Algeria,2018,5.043,9.348,0.799,65.9,0.583,-0.146,0.759,0.591,0.293,Developing,Africa,Arab States
Algeria,2019,4.745,9.337,0.803,66.1,0.385,0.005,0.741,0.585,0.215,Developing,Africa,Arab States
Argentina,2017,6.039,10.067,0.907,68.6,0.832,-0.186,0.841,0.809,0.292,Developing,South America,South/Latin America
Argentina,2018,5.793,10.032,0.9,68.8,0.846,-0.211,0.855,0.82,0.321,Developing,South America,South/Latin America
Argentina,2019,6.086,10,0.896,69,0.817,-0.211,0.83,0.826,0.319,Developing,South America,South/Latin America
Armenia,2017,4.288,9.402,0.698,66.6,0.614,-0.147,0.865,0.625,0.437,Developing,Europe,Europe
Armenia,2018,5.062,9.451,0.814,66.9,0.808,-0.163,0.677,0.581,0.455,Developing,Europe,Europe
Armenia,2019,5.488,9.522,0.782,67.2,0.844,-0.172,0.583,0.598,0.43,Developing,Europe,Europe
Australia,2017,7.257,10.798,0.95,73.3,0.911,0.317,0.411,0.78,0.225,Developed,Oceania,Asia & Pacific
Australia,2018,7.177,10.811,0.94,73.6,0.916,0.146,0.405,0.759,0.187,Developed,Oceania,Asia & Pacific
Australia,2019,7.234,10.815,0.943,73.9,0.918,0.121,0.43,0.77,0.202,Developed,Oceania,Asia & Pacific
Austria,2017,7.294,10.908,0.906,72.7,0.89,0.133,0.518,0.748,0.18,Developed,Europe,Europe
Austria,2018,7.396,10.928,0.912,73,0.904,0.053,0.523,0.752,0.226,Developed,Europe,Europe
Austria,2019,7.195,10.939,0.964,73.3,0.903,0.06,0.457,0.774,0.205,Developed,Europe,Europe
