Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region,Rank
Norway,2015,7.603,11.033,0.947,72.9,0.948,0.257,0.299,0.843,0.209,Developed,Europe,Europe,1
Switzerland,2015,7.572,11.1,0.938,73.2,0.928,0.109,0.21,0.809,0.166,Developed,Europe,Europe,2
Denmark,2015,7.514,10.878,0.96,71.5,0.941,0.222,0.191,0.829,0.218,Developed,Europe,Europe,3
Iceland,2015,7.498,10.854,0.98,73,0.94,0.301,0.639,0.849,0.18,Developed,Europe,Europe,4
Finland,2015,7.448,10.716,0.948,71.6,0.93,0.111,0.223,0.751,0.191,Developed,Europe,Europe,5
New Zealand,2015,7.418,10.608,0.987,72.6,0.942,0.329,0.186,0.834,0.16,Developed,Oceania,Asia & Pacific,6
Canada,2015,7.413,10.774,0.939,73,0.931,0.253,0.427,0.845,0.286,Developed,North America,North America,7
Netherlands,2015,7.324,10.882,0.879,72,0.904,0.261,0.412,0.834,0.202,Developed,Europe,Europe,8
Australia,2015,7.309,10.779,0.952,72.7,0.922,0.332,0.357,0.79,0.21,Developed,Oceania,Asia & Pacific,9
Sweden,2015,7.289,10.853,0.929,72.3,0.935,0.211,0.232,0.818,0.191,Developed,Europe,Europe,10
Israel,2015,7.079,10.536,0.864,72.7,0.753,0.108,0.789,0.697,0.256,Developed,Asia,Europe,11
Austria,2015,7.076,10.881,0.928,72.1,0.9,0.099,0.557,0.798,0.164,Developed,Europe,Europe,12
Germany,2015,7.037,10.844,0.926,71.3,0.889,0.178,0.412,0.765,0.203,Developed,Europe,Europe,13
Belgium,2015,6.904,10.81,0.885,71.4,0.869,0.062,0.469,0.805,0.24,Developed,Europe,Europe,14
United States,2015,6.864,10.977,0.904,68.6,0.849,0.219,0.698,0.814,0.275,Developed,North America,North America,15
Costa Rica,2015,6.854,9.799,0.878,70.7,0.907,-0.059,0.761,0.85,0.286,Developing,North America,South/Latin America,16
Ireland,2015,6.83,11.174,0.953,72,0.892,0.233,0.409,0.799,0.225,Developed,Europe,Europe,17
Luxembourg,2015,6.702,11.617,0.934,72.6,0.932,0.052,0.375,0.757,0.193,Developed,Europe,Europe,18
Argentina,2015,6.697,10.083,0.926,68.2,0.881,-0.174,0.851,0.859,0.305,Developing,South America,South/Latin America,19
Uruguay,2015,6.628,9.932,0.891,68.7,0.917,-0.032,0.673,0.893,0.3,Developing,South America,South/Latin America,20
Singapore,2015,6.62,11.4,0.866,75.9,0.887,0.15,0.099,0.803,0.142,Developing,Asia,Asia & Pacific,21
Malta,2015,6.613,10.566,0.919,72.2,0.912,0.347,0.664,0.68,0.355,Developed,Europe,Europe,22
Czech Republic,2015,6.608,10.496,0.911,68.8,0.808,-0.146,0.886,0.751,0.206,Developed,Europe,Europe,23
Panama,2015,6.606,10.255,0.883,69.3,0.847,-0.007,0.81,0.801,0.264,Developing,North America,South/Latin America,24
United Arab Emirates,2015,6.568,11.086,0.824,66.5,0.915,0.201,,0.761,0.296,Developed,Asia,Middle east,25
Brazil,2015,6.547,9.62,0.907,65.8,0.799,-0.016,0.771,0.755,0.325,Developing,South America,South/Latin America,26
Chile,2015,6.533,10.07,0.827,69.6,0.769,0.041,0.812,0.803,0.333,Developing,South America,South/Latin America,27
