Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Development Level,Continent,Region
Albania,2020,5.365,9.497,0.71,69.3,0.754,0.007,0.891,0.679,0.265,Developed,Europe,Europe
Argentina,2020,5.901,9.85,0.897,69.2,0.823,-0.122,0.816,0.764,0.342,Developing,South America,South/Latin America
Australia,2020,7.137,10.76,0.937,74.2,0.905,0.21,0.491,0.769,0.205,Developed,Oceania,Asia & Pacific
Austria,2020,7.213,10.851,0.925,73.6,0.912,0.011,0.464,0.769,0.206,Developed,Europe,Europe
Bahrain,2020,6.173,10.62,0.848,69.7,0.945,0.132,,0.79,0.297,Developing,Asia,Arab States
Bangladesh,2020,5.28,8.472,0.739,65.3,0.777,-0.009,0.742,0.582,0.332,Developing,Asia,Asia & Pacific
Belgium,2020,6.839,10.771,0.904,72.4,0.767,-0.164,0.634,0.647,0.26,Developed,Europe,Europe
Benin,2020,4.408,8.102,0.507,55.1,0.783,-0.083,0.532,0.609,0.305,Developing,Africa,Africa
Bolivia,2020,5.559,8.998,0.805,64.2,0.877,-0.054,0.868,0.79,0.382,#N/A,South America,South/Latin America
Bosnia and Herzegovina,2020,5.516,9.583,0.899,68.4,0.74,0.138,0.916,0.644,0.325,Developed,Europe,Europe
Brazil,2020,6.11,9.522,0.831,66.8,0.786,-0.053,0.729,0.692,0.389,Developing,South America,South/Latin America
Bulgaria,2020,5.598,9.991,0.916,67.2,0.818,-0.004,0.901,0.706,0.221,Developed,Europe,Europe
Cambodia,2020,4.377,8.362,0.724,62.4,0.963,0.052,0.863,0.878,0.39,Developing,Asia,Asia & Pacific
Cameroon,2020,5.241,8.175,0.72,54.3,0.675,0.049,0.837,0.63,0.386,Developing,Africa,Africa
Canada,2020,7.025,10.73,0.931,74,0.887,0.05,0.434,0.796,0.307,Developed,North America,North America
Chile,2020,6.151,10.02,0.888,70.1,0.781,0.033,0.812,0.815,0.336,Developing,South America,South/Latin America
China,2020,5.771,9.702,0.808,69.9,0.891,-0.103,,0.789,0.245,Developing,Asia,Asia & Pacific
Colombia,2020,5.709,9.495,0.797,68.3,0.84,-0.085,0.808,0.795,0.34,Developing,South America,South/Latin America
Croatia,2020,6.508,10.166,0.923,71.4,0.837,-0.063,0.961,0.743,0.286,Developed,Europe,Europe
Cyprus,2020,6.26,,0.806,74.1,0.763,,0.816,0.759,0.284,Developed,Europe,Europe
Czech Republic,2020,6.897,10.53,0.964,71.3,0.906,-0.127,0.884,0.832,0.29,#N/A,Europe,Europe
Denmark,2020,7.515,10.91,0.947,73,0.938,0.052,0.214,0.818,0.227,Developed,Europe,Europe
Dominican Republic,2020,5.168,9.802,0.806,66.4,0.835,-0.128,0.636,0.734,0.314,#N/A,North America,South/Latin America
Ecuador,2020,5.354,9.244,0.804,69.1,0.829,-0.157,0.855,0.79,0.416,Developing,South America,South/Latin America
Egypt,2020,4.472,9.383,0.673,62.3,0.77,-0.112,,0.599,0.442,Developing,Africa,Middle east
El Salvador,2020,5.462,9.019,0.696,66.7,0.924,-0.126,0.583,0.839,0.329,Developing,North America,South/Latin America
Estonia,2020,6.453,10.459,0.958,69,0.954,-0.082,0.398,0.807,0.188,Developed,Europe,Europe
Ethiopia,2020,4.549,7.711,0.823,59.5,0.769,0.188,0.784,0.669,0.252,Developing,Africa,Africa
Finland,2020,7.889,10.75,0.962,72.1,0.962,-0.116,0.164,0.744,0.193,Developed,Europe,Europe
France,2020,6.714,10.643,0.947,74.2,0.823,-0.169,0.565,0.732,0.231,Developed,Europe,Europe
Georgia,2020,5.123,9.569,0.718,64.1,0.764,-0.221,0.583,0.611,0.295,Developing,Europe,Europe
Germany,2020,7.312,10.833,0.905,72.8,0.864,-0.06,0.424,0.76,0.206,Developed,Europe,Europe
Ghana,2020,5.319,8.59,0.643,58,0.824,0.2,0.847,0.713,0.253,Developing,Africa,Africa
Greece,2020,5.788,10.215,0.779,72.8,0.565,-0.241,0.764,0.684,0.322,Developed,Europe,Europe
Hong Kong S.A.R. of China,2020,5.295,,0.813,,0.705,,0.38,0.609,0.21,#N/A,Asia,Asia & Pacific
Hungary,2020,6.038,10.335,0.943,68.4,0.771,-0.12,0.836,0.735,0.24,Developed,Europe,Europe
Iceland,2020,7.575,10.824,0.983,73,0.949,0.16,0.644,0.863,0.172,Developed,Europe,Europe
India,2020,4.225,8.703,0.617,60.9,0.906,0.075,0.78,0.752,0.383,Developing,Asia,Asia & Pacific
Iran,2020,4.865,,0.757,66.6,0.6,,0.71,0.582,0.47,#N/A,Asia,Asia
Iraq,2020,4.785,9.167,0.708,61.4,0.7,-0.021,0.849,0.644,0.532,Developing,Asia,Middle east
Ireland,2020,7.035,11.323,0.96,72.5,0.882,0.014,0.356,0.797,0.246,Developed,Europe,Europe
Israel,2020,7.195,10.538,0.959,73.7,0.831,-0.049,0.748,0.621,0.243,Developed,Asia,Europe
Italy,2020,6.488,10.563,0.89,74,0.718,-0.15,0.844,0.67,0.311,Developed,Europe,Europe
Ivory Coast,2020,5.257,8.565,0.613,50.7,0.77,0.016,0.777,0.693,0.34,#N/A,Africa,Africa
Japan,2020,6.118,10.58,0.887,75.2,0.806,-0.259,0.609,0.742,0.186,Developed,Asia,Asia & Pacific
Jordan,2020,4.094,9.15,0.709,67.2,0.779,-0.15,,,,Developing,Asia,Middle east
Kazakhstan,2020,6.168,10.135,0.966,65.8,0.872,-0.056,0.661,0.684,0.15,Developing,Asia,Asia & Pacific
Kenya,2020,4.547,8.365,0.674,61.3,0.702,0.26,0.837,0.733,0.297,Developing,Africa,Africa
Kosovo,2020,6.294,,0.792,,0.88,,0.91,0.726,0.201,#N/A,Europe,Europe
Kyrgyzstan,2020,6.25,8.503,0.902,64.7,0.935,0.103,0.931,0.803,0.258,Developing,Asia,Asia & Pacific
Laos,2020,5.284,8.96,0.66,59.5,0.915,0.141,0.748,0.822,0.358,#N/A,Asia,Asia & Pacific
Latvia,2020,6.229,10.3,0.928,67.4,0.82,-0.078,0.809,0.714,0.202,Developed,Europe,Europe
Lithuania,2020,6.391,10.504,0.953,68.5,0.824,-0.122,0.829,0.66,0.202,Developed,Europe,Europe
Malta,2020,6.157,,0.938,72.2,0.931,,0.675,0.601,0.411,Developed,Europe,Europe
Mauritius,2020,6.015,9.972,0.893,67,0.843,-0.037,0.772,0.767,0.138,Developing,Africa,Africa
Mexico,2020,5.964,9.782,0.779,68.9,0.873,-0.119,0.778,0.81,0.292,Developing,North America,South/Latin America
Moldova,2020,5.812,9.462,0.874,66.4,0.859,-0.058,0.941,0.727,0.268,#N/A,Europe,Europe
Mongolia,2020,6.011,9.396,0.918,62.7,0.718,0.141,0.843,0.636,0.26,Developing,Asia,Asia & Pacific
Montenegro,2020,5.722,9.913,0.887,68.9,0.802,0.06,0.845,0.603,0.411,Developed,Europe,Europe
